sample	unit	fq1	fq2
ML.DmBG3.c2.122	rep1	SRR015094_1.fastq.gz	SRR015094_2.fastq.gz
ML.DmBG3.c2.122	rep2	SRR015096_1.fastq.gz	SRR015096_2.fastq.gz
ML.DmBG3.c2.124	rep1	SRR015098_1.fastq.gz	SRR015098_2.fastq.gz
ML.DmBG3.c2.124	rep2	SRR015100_1.fastq.gz	SRR015100_2.fastq.gz
ML.DmBG3.c2.124	rep3	SRR015102_1.fastq.gz	SRR015102_2.fastq.gz
S2.DRSC.14	rep1	SRR015104_1.fastq.gz	SRR015104_2.fastq.gz
S2.DRSC.14	rep2	SRR015106_1.fastq.gz	SRR015106_2.fastq.gz
S2.DRSC.16	rep1	SRR015108_1.fastq.gz	SRR015108_2.fastq.gz
S2.DRSC.16	rep2	SRR015110_1.fastq.gz	SRR015110_2.fastq.gz
S2.DRSC.16	rep3	SRR015112_1.fastq.gz	SRR015112_2.fastq.gz
